SalePrice,id
124912.04740011631,1461
157616.51107209065,1462
183585.35367905378,1463
195565.0007389481,1464
191444.80934086395,1465
173758.39222382195,1466
176814.8661921679,1467
163569.14419657364,1468
188513.99851114588,1469
120166.42580401289,1470
203535.9493297495,1471
97470.43063994496,1472
97087.46724107012,1473
150408.52441752513,1474
124974.61766778528,1475
363863.96543753403,1476
254713.49924059192,1477
290959.19367099507,1478
278592.2087167703,1479
509901.58531123726,1480
321072.44982117007,1481
207473.34219490062,1482
180098.53100809158,1483
161408.54194169492,1484
183803.7577138628,1485
198275.39446200113,1486
331380.4007514777,1487
238876.92435656823,1488
203305.79259909806,1489
214580.4660118973,1490
191942.92273957556,1491
94010.0756736897,1492
192802.81084569232,1493
304302.8202172469,1494
292389.99783266627,1495
230506.58302279454,1496
181093.49369836773,1497
159344.95772349607,1498
160114.39970426864,1499
153334.6085480129,1500
171612.21755263984,1501
144177.65806661197,1502
298697.4793754567,1503
237908.55112969776,1504
229733.4986082997,1505
186803.62386376326,1506
239974.24955109344,1507
200461.38612360993,1508
158684.44228453693,1509
145111.22901725245,1510
146888.50739837537,1511
174797.51376050146,1512
144356.7623684363,1513
168807.88049319293,1514
192071.76866956748,1515
160222.4067061296,1516
162047.8058287157,1517
136457.86651462453,1518
221823.79684170784,1519
131636.8518112293,1520
133873.9122821197,1521
172922.7543513137,1522
113004.42629112604,1523
126712.48619222679,1524
124154.20386248209,1525
118326.91743699681,1526
101376.93498782147,1527
137465.1517135793,1528
148089.00193505667,1529
177035.52910178425,1530
103082.41713525754,1531
96976.0737559839,1532
152481.44386030463,1533
122956.38401838584,1534
153010.1800610331,1535
109837.72259972992,1536
70268.86165334628,1537
164242.3959409881,1538
199036.3696319174,1539
91867.12940932307,1540
141062.60205017324,1541
144641.42364052002,1542
204905.81980455207,1543
82763.48340087524,1544
115013.0029167321,1545
136452.06636159495,1546
130009.20862657265,1547
139381.72763076768,1548
117241.12716614065,1549
139268.51360952982,1550
111990.84650650434,1551
133973.0611485328,1552
146512.65765506777,1553
118262.5451137129,1554
160912.6457513462,1555
80955.36816364518,1556
108575.01808598732,1557
97118.9658440431,1558
66511.51225114586,1559
136752.48572939407,1560
130188.82665852795,1561
130771.65542527207,1562
121083.90260596259,1563
154901.58126591457,1564
151752.01854367612,1565
246686.01100443024,1566
74047.66258104354,1567
227647.8219328625,1568
134107.83320535623,1569
137993.18297543644,1570
129865.83844483361,1571
145641.77507140514,1572
242938.11723238076,1573
110419.56255867524,1574
216849.4642644497,1575
238099.69944228843,1576
182431.8063182513,1577
149988.59585404315,1578
143727.6541580155,1579
195531.13256520504,1580
156170.2209322445,1581
