name,invasive
1,0.9999999523162841
2,2.8827590892177567e-08
3,7.735313799912546e-05
4,7.135927821977362e-08
5,1.0
6,9.866939294056465e-07
7,2.777016513619279e-09
8,1.0
9,1.0
10,6.612773275627149e-08
11,7.408418739585088e-10
12,5.2408189255004344e-08
13,1.4262235765727382e-06
14,0.9999998807907104
15,3.167906306771329e-05
16,1.9600335062364137e-05
17,4.417762829689309e-06
18,0.00014319799238364793
19,0.0006052721670130268
20,0.0041024076985195276
21,0.9999999284744263
22,4.856780329021149e-08
23,0.9999997615814209
24,0.9999897718429566
25,1.0
26,1.0
27,1.0
28,2.605546410450188e-06
29,1.9617591480169948e-07
30,2.6024671129221134e-08
31,1.4531195233757899e-06
32,1.4931896996639438e-08
33,1.0
34,1.0
35,4.722896181874603e-06
36,1.0
37,2.462950645565343e-06
38,3.8601183348419e-06
39,1.0
40,3.507670107865124e-05
41,1.0
42,0.00011899545334017602
43,7.559165060229134e-05
44,4.944017922525745e-06
45,0.9999999284744263
46,2.9676722510885158e-05
47,0.000347421586047858
48,0.9999990224838257
49,0.0017845768970119024
50,1.0
51,0.9999938011169434
52,1.0
53,8.152242521930475e-07
54,1.8151454939108192e-08
55,1.0
56,6.894188983586069e-09
57,0.001021124643739313
58,1.0
59,6.570034827291238e-08
60,7.941082776596886e-06
61,2.7960359605394557e-08
62,6.627282361781894e-09
63,0.9999887704849243
64,1.0
65,2.546394225646509e-05
66,2.005527466764079e-07
67,1.4888475756702492e-07
68,1.0
69,7.842821432291203e-07
70,0.9999993085861206
71,1.2066358728191062e-06
72,5.998329953627035e-07
73,2.0081450458064865e-07
74,0.00025435312127228824
75,7.825414272133457e-08
76,0.0005426383926533162
77,1.0
78,0.9999990940093995
79,0.0024379490248975346
80,4.37431549471512e-05
81,3.8988737998124635e-07
82,0.08342364579439163
83,1.8537709145505232e-07
84,1.8272538426788997e-09
85,1.0
86,0.00024127379729179665
87,1.0
88,2.543969494581688e-05
89,0.9999999284744263
90,1.8129088772411706e-06
91,0.9988180637359619
92,4.728240824647401e-06
93,4.104925112269342e-07
94,1.7226847467100016e-05
95,8.831193240577128e-09
96,1.0036433083371321e-05
97,0.9997452378273011
98,7.544178771468069e-07
99,0.9999998807907104
100,0.13347999900579452
101,0.9999978542327881
102,9.145859294221737e-05
103,0.999999713897705
104,1.0
105,1.0
106,5.068513479500325e-06
107,2.107691771016107e-05
108,0.9999876499176026
109,0.9999794483184814
110,7.162258115478437e-08
111,0.00013030419031565544
112,0.036930793151259425
113,8.73097169318271e-07
114,5.184313252470929e-07
115,1.0
116,1.0
117,1.0
118,8.764848280407023e-05
119,1.0
120,0.9999999284744263
121,1.0
122,8.67228885908844e-05
123,0.9999999523162841
124,0.9999999523162841
125,1.0
126,1.0734040824900148e-05
127,0.003216679429169744
128,0.9999999761581421
129,2.6238910595566268e-05
130,0.00979675140697509
131,0.00015576329897157848
132,1.8889138914346405e-06
133,7.99763212455673e-07
134,0.9999969244003296
135,0.6222660154104233
136,1.374683155574985e-06
137,0.9998735785484314
138,0.00983747886493802
139,0.9999735832214356
140,1.0
141,0.9999998569488525
142,0.8109105288982391
143,4.622997487047087e-08
144,2.1059129221612238e-05
145,0.000314192693986115
146,1.0
147,0.9999879121780395
148,1.0
149,0.004531638759362977
150,0.009100480889901518
151,0.41386983031407
152,2.905601850216044e-05
153,9.590560739525245e-06
154,0.9999999761581421
155,0.9999998807907104
156,1.0
157,3.0477505102988187e-10
158,9.206374215864344e-07
159,0.00020788287074537947
160,1.0
161,1.0
162,3.3888887003286072e-06
163,7.02384686857016e-08
164,0.009239425175474025
165,1.0
166,3.3721348942361564e-10
167,2.8466887033573585e-05
168,1.0
169,1.0
170,5.575844065575097e-07
171,0.11888799471780657
172,2.1622867807380432e-08
173,1.0
174,0.00013359642955492745
175,1.0
176,5.725579111270917e-07
177,2.0955030549885124e-06
178,0.0002103681385051459
179,1.0
180,1.0
181,1.0
182,1.0
183,1.5033269755804213e-05
184,1.2727030480164103e-05
185,1.0421992202580555e-08
186,0.005934680043719709
187,1.0
188,4.403228615057486e-08
189,0.001249542789446423
190,0.9679964780807495
191,4.089969220331113e-05
192,1.0
193,0.9999999046325684
194,8.011430772114636e-08
195,7.155114457191303e-06
196,8.490860182064353e-05
197,8.733677395866834e-06
198,0.8194226652383805
199,1.3553120314924172e-07
